GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,FD_num_2010,FD_pct_2010,D_Cap,G_Cap
1003,2010,37,271,5046,25,1190,25820,182265,35211,19.32,4926,7290
1015,2010,30,207,3464,24,734,12338,118572,30901,26.06,3952,4940
1017,2010,9,66,983,8,200,3634,34215,6748,19.72,3801,4276
1019,2010,9,43,755,4,114,1612,25989,79,0.31,2887,6497
1025,2010,15,158,2467,7,252,4142,25833,5061,19.59,1722,3690
1039,2010,13,83,1428,9,284,5022,37765,3334,8.83,2905,4196
1045,2010,10,55,963,7,152,2544,50251,13847,27.56,5025,7178
1047,2010,12,107,1383,11,250,4935,43820,7786,17.77,3651,3983
1051,2010,14,105,1509,8,363,6083,79303,15012,18.93,5664,9912
1053,2010,14,154,2261,6,255,4310,38319,5189,13.54,2737,6386
1055,2010,25,205,3489,19,522,9510,104430,24779,23.73,4177,5496
1057,2010,6,39,654,7,100,1538,17241,438,2.54,2873,2463
1063,2010,4,38,479,3,55,874,9045,3287,36.34,2261,3015
1071,2010,12,79,1229,13,249,3856,53227,4855,9.12,4435,4094
1073,2010,98,965,14728,105,4835,93295,658466,209261,31.78,6719,6271
1089,2010,54,427,7659,35,2126,44675,334811,110052,32.87,6200,9566
1091,2010,7,43,906,4,109,2240,21027,5587,26.57,3003,5256
1093,2010,10,42,767,4,85,1280,30776,538,1.75,3077,7694
1095,2010,22,170,2593,20,580,8163,93019,12814,13.78,4228,4650
1097,2010,97,849,13932,58,2410,44913,412992,112774,27.31,4257,7120
1099,2010,10,59,1181,6,159,2200,23068,7149,30.99,2306,3844
1101,2010,36,369,5621,33,1441,28812,229363,64260,28.02,6371,6950
1103,2010,27,202,3090,20,634,12716,119490,14010,11.72,4425,5974
1107,2010,10,85,1259,4,142,1960,19746,851,4.31,1974,4936
1109,2010,5,41,709,8,255,4358,32899,3733,11.35,6579,4112
1111,2010,6,43,644,4,113,1943,22913,1061,4.63,3818,5728
1113,2010,15,139,2121,8,369,6074,52947,8512,16.08,3529,6618
1117,2010,24,204,3864,26,1403,29517,195085,52014,26.66,8128,7503
1121,2010,24,181,2626,10,341,6425,82291,12352,15.01,3428,8229
1123,2010,12,104,1460,6,239,4707,41616,4598,11.05,3468,6936
1125,2010,33,300,4733,27,1342,26500,194656,39478,20.28,5898,7209
1131,2010,6,31,529,10,80,1273,11670,5173,44.33,1945,1167
2050,2010,15,356,4333,24,413,6419,17013,13273,78.01,1134,708
2110,2010,3,38,961,7,376,8867,31275,10138,32.42,10425,4467
2122,2010,5,51,1160,20,644,17851,55400,11290,20.38,11080,2770
4001,2010,12,75,1509,11,332,6217,71518,46747,65.36,5959,6501
4003,2010,28,192,3202,15,996,19343,131346,51625,39.3,4690,8756
4005,2010,14,111,2078,17,1332,24732,134421,40657,30.25,9601,7907
4009,2010,3,25,359,8,341,5892,37220,11663,31.33,12406,4652
4013,2010,219,2349,39616,494,37913,670315,3817117,492281,12.9,17429,7726
4017,2010,20,149,2376,16,731,15449,107449,35575,33.11,5372,6715
4019,2010,80,694,12041,120,9243,172176,980263,232208,23.69,12253,8168
